work_order, service_code
354667, 'PFI10'
340821, 'PFI10'
337317, 'PFI10'
351910, 'PFI10'
342978, 'PFI10'
336747, 'PFI10'
337459, 'PFI10'
328579, 'PFI10'
346459, 'PFI10'
334971, 'SWM30'
348460, 'PFI10'
350549, 'PFI10'
322861, 'PFI10'
355431, 'PFI10'
346303, 'PFI10'
332482, 'PFI10'
316252, 'PFI10'
333788, 'SWM30'
342830, 'PFI10'
334018, 'PFI10'
354934, 'PFI10'
336627, 'PFI10'
320723, 'SFS30'
339266, 'PFI10'
364613, 'PFI10'
345352, 'SFS30'
317372, 'PFI10'
339931, 'PFI10'
330901, 'PFI10'
336380, 'PFI10'
326193, 'SFS30'
349554, 'PFI10'
349232, 'PFI10'
330097, 'PFI10'
331389, 'PFI10'
328800, 'PFI10'
337934, 'SFS30'
316722, 'PFI10'
342415, 'PFI10'
321830, 'PFI10'
343938, 'PFI10'
333207, 'PFI10'
328627, 'PFI10'
337713, 'PFI10'
347592, 'PFI10'
331404, 'PFI10'
346854, 'SFS30'
350978, 'PFI10'
362060, 'PFI10'
335139, 'PFI10'
320534, 'SFS30'
350951, 'PFI10'
346855, 'SFS30'
347593, 'PFI10'
330069, 'PFI10'
362049, 'PFI11'
337935, 'SFS30'
321831, 'PFI10'
354276, 'PFI10'
342414, 'PFI10'
352613, 'PFI10'
316051, 'SFS30'
336381, 'PFI10'
328801, 'PFI10'
316737, 'SFS30'
330900, 'PFI10'
347544, 'PFI10'
345353, 'PFI10'
339267, 'PFI10'
364612, 'PFI10'
345804, 'PFI10'
334031, 'PFI10'
335449, 'SFS30'
366777, 'PFI10'
342831, 'PFI10'
334019, 'PFI10'
332468, 'PFI10'
342616, 'SFS30'
359550, 'SFS30'
317159, 'PFI10'
349025, 'PFI10'
330280, 'PFI10'
332483, 'PFI10'
322848, 'SFS30'
346302, 'PFI10'
330294, 'PFI10'
352411, 'PFI10'
345151, 'PFI10'
360266, 'PFI10'
336746, 'PFI10'
332534, 'PFI10'
354869, 'PFI10'
362303, 'PFI11'
345794, 'PFI10'
355587, 'PFI10'
345780, 'PFI10'
355593, 'PFI10'
346262, 'PFI10'
340161, 'PFI10'
345031, 'SFS30'
357353, 'PFI10'
328587, 'PFI10'
328593, 'PFI10'
353121, 'PFI10'
342992, 'PFI10'
352559, 'PFI10'
366824, 'SFS30'
330135, 'PFI10'
332722, 'PFI10'
334435, 'PFI10'
339111, 'SFS30'
360070, 'PFI10'
335059, 'PFI10'
316680, 'PFI10'
330121, 'PFI10'
367051, 'PFI10'
337666, 'SFS30'
330109, 'PFI10'
332078, 'PFI10'
335717, 'PFI10'
353486, 'PFI10'
335703, 'PFI10'
362883, 'PFI10'
337672, 'PFI10'
345569, 'SFS30'
332939, 'SFS30'
352015, 'PFI10'
346060, 'SFS30'
330690, 'SFS30'
321945, 'SFS30'
332087, 'PFI10'
358262, 'PFI10'
343124, 'PFI10'
345233, 'SFS30'
352997, 'PFI10'
342548, 'SFS30'
352983, 'PFI10'
347356, 'SFS30'
328949, 'PFI10'
337851, 'SFS30'
360909, 'SFS30'
340367, 'PFI10'
344115, 'PFI10'
346702, 'PFI10'
340373, 'PFI10'
337845, 'SFS30'
352987, 'PFI10'
330870, 'PFI10'
311666, 'SFS30'
353455, 'PFI10'
369050, 'PFI10'
330125, 'PFI10'
316684, 'PFI10'
332732, 'PFI10'
334425, 'SFS30'
331549, 'PFI10'
337138, 'PFI10'
334431, 'PFI10'
363569, 'SFS30'
335049, 'PFI10'
332726, 'PFI10'
345586, 'PFI10'
337676, 'PFI10'
330119, 'PFI10'
359811, 'SFS30'
338223, 'SFS30'
327317, 'PFI10'
320478, 'SFS30'
328742, 'PFI10'
333404, 'SFS30'
340165, 'PFI10'
346514, 'PFI10'
355568, 'SFS30'
336959, 'PFI10'
369285, 'PFI10'
340171, 'PFI10'
334828, 'PFI10'
315616, 'PFI10'
342996, 'PFI10'
334800, 'SFS30'
345747, 'SFS30'
313501, 'SFS30'
345753, 'SFS30'
313515, 'SFS30'
313273, 'SFS30'
343444, 'PFI10'
347622, 'PFI10'
347811, 'SFS30'
335539, 'PFI10'
336756, 'PFI10'
336742, 'PFI10'
320120, 'SWM30'
332524, 'PFI10'
334633, 'PFI10'
356908, 'PFI11'
353680, 'PFI10'
342955, 'PFI10'
337312, 'PFI10'
367525, 'SFS30'
345784, 'PFI10'
354689, 'PFI10'
345790, 'PFI10'
353694, 'PFI10'
342799, 'PFI10'
334790, 'SWM30'
330290, 'PFI10'
346312, 'PFI10'
316243, 'SWM30'
334974, 'PFI10'
352429, 'SFS30'
353051, 'PFI10'
340993, 'PFI10'
347030, 'PFI10'
317607, 'SFS30'
343256, 'PFI10'
348465, 'PFI10'
364616, 'PFI10'
334021, 'PFI10'
342809, 'PFI10'
339263, 'PFI10'
320732, 'SFS30'
347781, 'SWM30'
323788, 'PFI10'
330092, 'PFI10'
328805, 'PFI10'
357009, 'PFI10'
314642, 'SFS30'
335698, 'PFI10'
330086, 'PFI10'
317439, 'SFS30'
337931, 'SFS30'
340561, 'PFI10'
332691, 'PFI10'
335868, 'SFS30'
345357, 'PFI10'
330910, 'SFS30'
355150, 'PFI10'
339920, 'PFI10'
360666, 'SFS30'
350969, 'PFI10'
328622, 'PFI10'
345380, 'SFS30'
343929, 'PFI10'
346851, 'SFS30'
328636, 'PFI10'
343928, 'PFI10'
362058, 'PFI11'
365737, 'PFI10'
328637, 'PFI10'
360883, 'SFS30'
339060, 'PFI10'
339706, 'PFI10'
317389, 'PFI10'
330911, 'SFS30'
335869, 'SFS30'
356464, 'PFI10'
347569, 'PFI10'
332690, 'PFI10'
323945, 'SFS30'
330087, 'PFI10'
349236, 'PFI10'
330093, 'PFI10'
352616, 'PFI10'
347780, 'SWM30'
345829, 'PFI10'
345801, 'PFI10'
320733, 'SFS30'
339262, 'PFI10'
316281, 'PFI10'
342808, 'PFI10'
364603, 'PFI10'
347031, 'PFI10'
347757, 'SWM30'
352428, 'SFS30'
313474, 'SFS30'
330285, 'PFI10'
346461, 'PFI10'
